key,lag,Washington,Illinois,California,Arizona,Massachusetts,Wisconsin,Texas,Nebraska,Utah,Oregon,Florida,New York,Rhode Island,Georgia,New Hampshire,North Carolina,New Jersey,Colorado,Maryland,Nevada,Tennessee,Indiana,Kentucky,Minnesota,Oklahoma,Pennsylvania,South Carolina,District of Columbia,Kansas,Missouri,Vermont,Virginia,Connecticut,Iowa,Louisiana,Ohio,Michigan,South Dakota,Arkansas,Delaware,Mississippi,New Mexico,North Dakota,Wyoming,Maine,Alabama,Idaho,Montana,max_name,max_corr
US_WA,0,0.9999999999999999,0.6401424994445964,0.5485465648722375,0.5483361285277709,0.5176466424987474,0.4424060543511186,0.4212913980073082,0.5342911227596281,0.611282674221146,0.6031338577245572,0.6688137693574582,0.30809913396190103,0.609519614434512,0.6621607101051544,0.34397260520664946,0.7011867248732324,0.48020579382399087,0.6083583595204783,0.3106750977184891,0.7390706118960677,0.6225767924500678,0.6710183553226299,0.4335843591189491,0.46371222112097277,0.7461625458672546,0.5152228943379372,0.629405190448884,0.2619952404087436,0.69982304937832,0.7396433538084723,0.028540824033565722,0.608163432913434,0.6027069892488813,0.4379790775747466,0.7959820237721846,0.5834759542714157,0.27860816445808156,0.4615555070910658,0.7038409300857678,0.5718431979549592,0.745175920692086,0.5553214538257804,0.3875535955259498,0.4732445188456551,0.08189028253901043,0.7693723369665921,0.6655409897631448,0.4249696389419306,Louisiana,0.7959820237721846
US_WA,1,0.9931314613421963,0.6458255854555834,0.5466870248158792,0.5482193108530015,0.5159369411926321,0.446634288549178,0.426534292583243,0.5386058556248187,0.6156569858194473,0.5939125983738305,0.6674034462281816,0.3098666748484743,0.6116241977774494,0.6473637207634652,0.34175834636977487,0.6896320482799161,0.4831706066832017,0.6105854211834385,0.31264631370391577,0.7350715316360886,0.6339447498105837,0.6735089202609729,0.4494656966148226,0.4686051039978605,0.74541484869479,0.5131485539679983,0.6118145329999685,0.26191279628448266,0.7074047995660308,0.7507078787643393,0.027657526126437074,0.593868734946112,0.6012599837017067,0.4455260297567571,0.7925284085963097,0.5888268372840195,0.2894872845376592,0.4689358904267876,0.7142667974040582,0.5687658755734573,0.7390297513973255,0.5564551710448897,0.3989626978900069,0.47099652104352374,0.07608836626679295,0.7634124011247995,0.6747586628065573,0.42403608274483107,Louisiana,0.7925284085963097
US_WA,2,0.9750965536406354,0.6504212000285199,0.5445933300970517,0.5515438125048939,0.5132875407289786,0.4507010319848402,0.43284560476724837,0.5422712692887287,0.6197784749814209,0.5839878059992647,0.6638465623699925,0.31128501855262436,0.6133335928366889,0.6320860175729157,0.3408025466916584,0.6775126670116428,0.4851744438385788,0.6110824052515242,0.31482840414105273,0.7308433776336254,0.6446205653986804,0.6757522811873441,0.46789166992024833,0.4732872324408426,0.7459040418042098,0.5108483028214132,0.5941465400938529,0.2609225258173136,0.7167790815343504,0.7611833906589803,0.027398622954228694,0.5794396683678916,0.5996116672056225,0.4517089836448358,0.7878378953582673,0.5944722801256507,0.3011689700415869,0.4772018272119199,0.7235256573675265,0.5654583445222896,0.7317881704637385,0.557472030045038,0.41031100980397167,0.47038177698517053,0.07317546973905667,0.7558875361716123,0.6865945875389526,0.42310535590194026,Louisiana,0.7878378953582673
US_WA,3,0.9484587916243785,0.6540430101184312,0.5423917719275158,0.5569898603594516,0.5097980469635892,0.454666724082836,0.4398984466974302,0.545389100308696,0.6234848700156082,0.5733461119180037,0.6581405300202728,0.31271262517125936,0.6144500125599774,0.6162259132339141,0.3406854046578451,0.6648012042622623,0.4861937945522156,0.6099016490703488,0.3180803566546135,0.7264687381607945,0.6537543585002789,0.6775604441393881,0.4872640153178219,0.4776657272480432,0.7469433440053088,0.5083031467711029,0.5766095971231174,0.259273995183043,0.7271665765995957,0.7708579185629497,0.02748427389003388,0.5648178877712187,0.5975539782810204,0.45670648115709694,0.7818698507009307,0.6005067595475623,0.31315681208397195,0.4861721063011018,0.7312393225243066,0.56184032217007,0.7233157746784056,0.5584866312511642,0.4215721715631224,0.47098104240488586,0.07227843824308992,0.7471425649929233,0.699864815241035,0.42213615112410113,Louisiana,0.7818698507009307
US_WA,4,0.9158030625615577,0.6568088151960833,0.5402089656943466,0.5632324035609544,0.5055724390506371,0.4585926426497273,0.44736499207767766,0.5480614509052149,0.6266135043961231,0.5619741300444789,0.6502825517723612,0.314692594102088,0.6147693657941318,0.5996804246689629,0.3409803443186605,0.6514702276931941,0.4862022336950775,0.607095713799816,0.3239242296183453,0.7220304258251092,0.6604938956290025,0.6787447245552598,0.5059789593753706,0.4816474114239704,0.7478442430944855,0.505493830509745,0.5594126342746892,0.25729575851804276,0.7377851949954598,0.7795178346453877,0.027633111609928804,0.5499437640570953,0.5948729497468858,0.4606976202779902,0.7745835718112705,0.607048970697379,0.32495127556033265,0.49566504045282994,0.737028549629719,0.5578262623504187,0.7134768031921969,0.5596140899593991,0.43271974439894706,0.47237380516459376,0.07249459596980172,0.7375232364079413,0.7133818817540635,0.4210870364130029,Missouri,0.7795178346453877
US_WA,5,0.8797358563592523,0.6588408563885261,0.5381718466205795,0.5689411337643863,0.5007194816904182,0.46254092386801504,0.4549164864101959,0.5503907866399025,0.6290013224331599,0.5498584573467082,0.6402696100777006,0.31811304535945883,0.6140808796056136,0.5823452452218967,0.34125381983959496,0.6374922503751392,0.485169975470196,0.6027173832637271,0.335441685559895,0.7176114748470763,0.6639846172018857,0.6791157508473165,0.5224272562276848,0.48513881254039803,0.7479165197786205,0.5024008313602927,0.5427651195517033,0.25544732603193787,0.7478500930273179,0.786947837808671,0.027562238626166437,0.5347563331311576,0.5913483937956846,0.4638620497764141,0.7659382878625881,0.614250042296845,0.3360496830783252,0.5054984725758636,0.7405130511735236,0.5533246956356292,0.7021351416984897,0.5609700356201544,0.44372721122302833,0.4741382976744062,0.07288979677941117,0.7273762135313012,0.7259548427868162,0.4199164562410181,Missouri,0.786947837808671
US_WA,6,0.8428855017844976,0.6602661586843201,0.5364076654030464,0.5727805054034077,0.4953531932654115,0.46657458306547916,0.46222325728334274,0.5524799340820263,0.6304848849715089,0.5369856743027484,0.6280984562618543,0.32457515448100227,0.6121666900744946,0.5641147158730982,0.34106511131903317,0.6228397317328386,0.4830633471949961,0.5968196627895717,0.3602497894922976,0.7132951383231897,0.6633696643485089,0.6784834679850685,0.5349942250214079,0.48804616510734,0.7464682717242781,0.4990043528566189,0.5268770517595083,0.25442179075498467,0.75657369029796,0.7929309368986462,0.02698722370383871,0.5191932416621714,0.5867535634567264,0.4663799638931292,0.7558931614602512,0.6223053557525194,0.3459461984747363,0.5154897820101401,0.741311506961752,0.5482374545188121,0.6891543266296498,0.5626706111334178,0.4545679773743621,0.4758515093804619,0.07249629354768233,0.7170490620709707,0.7363893094078676,0.41858273273687036,Missouri,0.7929309368986462
US_WA,7,0.8079468859978683,0.6609829037178726,0.5344617551084169,0.5730189102581604,0.4893862303056601,0.47074922218669224,0.4689519663599301,0.554366350111535,0.6308389517175722,0.5233540273919965,0.6138382336289341,0.33059366938358226,0.608743229214702,0.5450745994578807,0.33986894652758814,0.6073998382571977,0.47845257339803404,0.5896549629293976,0.39153889561127575,0.7092142169883919,0.6578762645947687,0.676467766515692,0.5413528396971715,0.49016364387329464,0.7429201824198909,0.4952686236137878,0.5119933912781365,0.25288756933784395,0.7630063920286466,0.7973086055881252,0.025102242678381206,0.5032471481696551,0.5808108967691749,0.4682318885237387,0.7445601906977267,0.6279532186792168,0.3539381536424777,0.5254014011387295,0.7390509528755638,0.5417873056028157,0.674378034737137,0.5647633861916317,0.4649418851524029,0.47707213703845314,0.07138970965550655,0.7069862613211679,0.7434174612316667,0.41702433526352456,Missouri,0.7973086055881252
US_WA,8,0.7776238712015449,0.6611261056294235,0.5325266852983441,0.5683310010922109,0.48296888672012167,0.47513047941495873,0.4747711554531887,0.5561553889140588,0.6299002616373095,0.5089501612795272,0.5976185650179099,0.3355580862705869,0.6035800084365363,0.5252217594675758,0.33721354728956343,0.5911462505938012,0.4712313297286976,0.5812924266802131,0.4283878773069962,0.705453183835066,0.6466459298349242,0.6728964179535527,0.5399480841810487,0.49140066346003286,0.7365802757796053,0.4911732373513784,0.49832512586334604,0.25097940880109043,0.7663736535823873,0.7998730236471425,0.021616895733583306,0.4869313930981708,0.5732881816590679,0.4696089717817592,0.7319032905182263,0.6309761600970691,0.35952782919861753,0.5350506240441112,0.7333480198263601,0.5339362950541047,0.6576693912218813,0.5673685058878117,0.4748298717757683,0.47737475713216476,0.06861503525958469,0.6975385861728903,0.7458388884358813,0.4151994193618646,Missouri,0.7998730236471425
US_WA,9,0.7515771162183583,0.6606253350877315,0.5306489233153106,0.559528604210446,0.4760870245315422,0.47957651842287213,0.47975420910881006,0.5579159437054505,0.6279159278050631,0.49394357893621693,0.5799841059857939,0.3382353232080202,0.596978836929683,0.5047743066409967,0.33330045736031777,0.574193093310443,0.46177968629477056,0.5723198467197891,0.4641568550357109,0.7017270355059818,0.6308843620558973,0.6680256928510216,0.5323453241685355,0.4918948613757871,0.7278858976752922,0.4865856916149889,0.48539741394872643,0.2481655285554463,0.7666734786958044,0.8008492516708865,0.016764131937146504,0.47026711694175305,0.5643378824909933,0.47062991433920387,0.7180910418407921,0.6312883943917322,0.36315585388710964,0.5443177612545125,0.7248522605802721,0.524734140750279,0.6393722360141322,0.5700893156520692,0.4842044956571184,0.4766505256318919,0.06480619006763828,0.6881264124762239,0.7443791897405327,0.41320158062706,Missouri,0.8008492516708865
